GEOID,median_age__estimate,median_gross_rent__estimate,median_hh_income__estimate,median_home_value__estimate,pct_65plus__estimate,pct_asian_nh__estimate,pct_bachelors_plus__estimate,pct_black_nh__estimate,pct_foreign_born__estimate,pct_hispanic__estimate,pct_no_vehicle__estimate,pct_other_nh__estimate,pct_poverty__estimate,pct_rent_burdened__estimate,pct_renter__estimate,pct_snap__estimate,pct_transit_commute__estimate,pct_under18__estimate,pct_unemployed__estimate,pct_vacant__estimate,pct_white_nh__estimate,total_pop__estimate,pop_density__estimate,median_age__moe,median_gross_rent__moe,median_hh_income__moe,median_home_value__moe,pct_65plus__moe,pct_asian_nh__moe,pct_bachelors_plus__moe,pct_black_nh__moe,pct_foreign_born__moe,pct_hispanic__moe,pct_no_vehicle__moe,pct_other_nh__moe,pct_poverty__moe,pct_rent_burdened__moe,pct_renter__moe,pct_snap__moe,pct_transit_commute__moe,pct_under18__moe,pct_unemployed__moe,pct_vacant__moe,pct_white_nh__moe,total_pop__moe,pop_density__moe,median_age__universe,median_gross_rent__universe,median_hh_income__universe,median_home_value__universe,pct_65plus__universe,pct_asian_nh__universe,pct_bachelors_plus__universe,pct_black_nh__universe,pct_foreign_born__universe,pct_hispanic__universe,pct_no_vehicle__universe,pct_other_nh__universe,pct_poverty__universe,pct_rent_burdened__universe,pct_renter__universe,pct_snap__universe,pct_transit_commute__universe,pct_under18__universe,pct_unemployed__universe,pct_vacant__universe,pct_white_nh__universe,total_pop__universe,pop_density__universe,median_age__universe_moe,median_gross_rent__universe_moe,median_hh_income__universe_moe,median_home_value__universe_moe,pct_65plus__universe_moe,pct_asian_nh__universe_moe,pct_bachelors_plus__universe_moe,pct_black_nh__universe_moe,pct_foreign_born__universe_moe,pct_hispanic__universe_moe,pct_no_vehicle__universe_moe,pct_other_nh__universe_moe,pct_poverty__universe_moe,pct_rent_burdened__universe_moe,pct_renter__universe_moe,pct_snap__universe_moe,pct_transit_commute__universe_moe,pct_under18__universe_moe,pct_unemployed__universe_moe,pct_vacant__universe_moe,pct_white_nh__universe_moe,total_pop__universe_moe,pop_density__universe_moe,median_age__share,median_gross_rent__share,median_hh_income__share,median_home_value__share,pct_65plus__share,pct_asian_nh__share,pct_bachelors_plus__share,pct_black_nh__share,pct_foreign_born__share,pct_hispanic__share,pct_no_vehicle__share,pct_other_nh__share,pct_poverty__share,pct_rent_burdened__share,pct_renter__share,pct_snap__share,pct_transit_commute__share,pct_under18__share,pct_unemployed__share,pct_vacant__share,pct_white_nh__share,total_pop__share,pop_density__share,median_age__share_moe,median_gross_rent__share_moe,median_hh_income__share_moe,median_home_value__share_moe,pct_65plus__share_moe,pct_asian_nh__share_moe,pct_bachelors_plus__share_moe,pct_black_nh__share_moe,pct_foreign_born__share_moe,pct_hispanic__share_moe,pct_no_vehicle__share_moe,pct_other_nh__share_moe,pct_poverty__share_moe,pct_rent_burdened__share_moe,pct_renter__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,pct_under18__share_moe,pct_unemployed__share_moe,pct_vacant__share_moe,pct_white_nh__share_moe,total_pop__share_moe,pop_density__share_moe
BK0101,462.8,34535,1688377,14649200,3658,2169,21350,1598,9830,5837,12077,3276,3579,6453,16214,1653,10780,5274,1918,1523,26904,39784,31400.326348522205,9.670573922989266,1031.813452131731,133541.66520977637,1734161.1761180102,470.468915019898,362.47068847011616,1174.6263235599652,398.41812207779907,892.6880754216447,775.1857841833788,780.2320167744977,661.4695760199406,572.8891690370834,694.1419163254731,738.2946566243047,339.01032432656086,785.2063423075491,588.9066139890093,450.0755492136848,331.59312417479345,1391.7704552116345,1624.9332293974421,NA,0,0,0,0,39784,39784,32364,39784,39784,39784,19771,39784,39631,15795,19771,19771,25617,39784,28255,21294,39784,0,NA,0,0,0,0,1624.9332293974421,1624.9332293974421,1289.3855125601497,1624.9332293974421,1624.9332293974421,1624.9332293974421,716.9449072278845,1624.9332293974421,1615.1516956620515,44249.72999917626,716.9449072278845,716.9449072278845,1192.46844821991,1624.9332293974421,1384.3066856733735,682.2939249326496,1624.9332293974421,0,NA,NA,NA,NA,NA,9.194651116026543,5.451940478584356,65.96835990606847,4.016690126684094,24.70842549768751,14.671727327568872,61.08441656972333,8.234466117031973,9.030809215008453,40.85470085470085,82.009003085327,8.360730362652369,42.08143030019128,13.256585562034989,6.78817908334808,7.152249459941768,67.62517595013071,NA,NA,NA,NA,NA,NA,1.1213426738411938,0.8834655642352824,2.5030662768879015,0.9879239028888641,2.0040816682138844,1.8540490246701915,3.2660537100286935,1.628280161472923,1.3979194767550154,114.53888156930074,2.258474467822763,1.687668621326834,2.3575570446911946,1.3776795165305094,1.5578005573055131,1.5402585479762627,2.1468962148543977,NA,NA
BK0102,420,39094,1971727,17925100,4503,5806,33146,1943,16295,17625,20937,4609,8684,9227,25448,4729,18643,13304,2605,1789,36629,66612,64362.422939455246,12.208193969625482,1396.6656722351272,137908.68177167093,1516803.8224154105,743.5031943441803,1130.7661119789539,1678.8502017750125,601.5288854244657,1543.5368476327346,1817.2792850852618,1161.1326366957394,931.8122128411926,1659.23506472109,931.7564059345125,1068.4722738564628,596.9882745917209,1373.877359883334,1856.8626766672865,532.990619054407,423.7216067183735,2387.1954255988344,2936.623911909729,NA,0,0,0,0,66612,66612,49188,66612,66612,66612,30352,66612,66396,24811,30352,30352,40477,66612,43739,32141,66612,0,NA,0,0,0,0,2936.623911909729,2936.623911909729,1817.8030696420335,2936.623911909729,2936.623911909729,2936.623911909729,972.2803093758507,2936.623911909729,2936.7502447433285,41194.256772030734,972.2803093758507,972.2803093758507,1725.939454326252,2936.623911909729,1772.5030324374625,966.7290209774402,2936.623911909729,0,NA,NA,NA,NA,NA,6.760043235453072,8.716147240737405,67.38635439538099,2.916891851318081,24.46255929862487,26.459196541163756,68.98062730627306,6.919173722452411,13.079101150671727,37.189149973801946,83.84290985767001,15.580521876647339,46.05825530548213,19.97237734942653,5.955783168339468,5.566099374630534,54.98859064432835,NA,NA,NA,NA,NA,NA,1.075648499617688,1.6534791963617925,2.334016367113677,0.8938310802603113,2.050950634832983,2.4662095718392374,3.122842701400994,1.3652024925342916,2.4311174333574996,61.86007290099004,2.275715732932474,1.902505933957643,2.7683412343963716,2.6448694512685305,1.1944295771826947,1.3076477613277477,2.6393915928196985,NA,NA
BK0103,213.6,17689,434536,8044900,4599,659,3731,4281,4799,4030,7207,1257,19588,5573,9552,5827,3181,24940,1617,540,40721,50948,93388.94066173317,16.614150595200467,1419.5960693098582,63602.9111283438,1005735.8925871146,748.937914649806,454.57562627136093,720.0645804370605,1054.9071049149304,747.9171077064624,1042.0278307223853,669.950744458128,631.9849681756679,3078.068712683328,709.4645868540586,607.5713949816927,648.5954054724717,675.3369529353477,2936.1294249402563,480.1666377415241,190.2997635311195,4046.55260684944,3816.436688849954,NA,0,0,0,0,50948,50948,20961,50948,50948,50948,11859,50948,50636,9163,11859,11859,13908,50948,15624,12399,50948,0,NA,0,0,0,0,3816.436688849954,3816.436688849954,1318.2264600591204,3816.436688849954,3816.436688849954,3816.436688849954,572.2123731622727,3816.436688849954,3821.2699459734586,36129.75325130245,572.2123731622727,572.2123731622727,1133.0666352867338,3816.436688849954,1240.2072407464811,542.7292142496109,3816.436688849954,0,NA,NA,NA,NA,NA,9.02685090680694,1.293475700714454,17.79972329564429,8.402685090680695,9.419408023867472,7.910025908769726,60.77240914073699,2.4672214807254456,38.68394027964294,60.82069191312889,80.54642044017203,49.135677544480984,22.871728501581824,48.95187249744838,10.349462365591398,4.3551899346721505,79.92659181910967,NA,NA,NA,NA,NA,NA,1.3052523546540882,0.8869578706909114,3.2477548609499474,1.972566617294868,1.2873090532426261,1.9575672395749384,4.828658769838072,1.2266057939313573,5.33194768850144,239.94123999909806,3.3381854150334913,4.928634757298776,4.484000092263015,4.445880673851287,2.9614263757962287,1.522913976262711,5.218930776918767,NA,NA
BK0104,506,30589,1460114,9186900,6751,5261,20113,6815,12322,16888,17011,2263,12174,9062,20604,5417,14530,7340,2524,842,19548,50775,27082.346021684938,23.51169921549695,1499.4108843142362,126359.94240264595,1465982.4409538473,773.6678874038912,847.4556035569061,1208.5408557429905,1124.6919578266752,1206.0526522503071,1792.2510984792282,896.855060753966,511.0978379919054,1765.8114282108381,879.2820935285786,781.7505996160156,545.6409075573422,1115.7607270378357,1385.488361553427,443.22454805662557,256.96108654813867,1702.445006453953,2528.5414768201845,NA,0,0,0,0,50775,50775,39430,50775,50775,50775,23726,50775,50611,20109,23726,23726,28257,50775,31278,24568,50775,0,NA,0,0,0,0,2528.5414768201845,2528.5414768201845,1526.5487217904315,2528.5414768201845,2528.5414768201845,2528.5414768201845,748.9011950851727,2528.5414768201845,2487.56949651663,45700.924629595844,748.9011950851727,748.9011950851727,1415.7722274433836,2528.5414768201845,1493.782447346333,728.5451255756228,2528.5414768201845,0,NA,NA,NA,NA,NA,13.295913343180699,10.361398325947809,51.00938371798123,13.421959625800099,24.267848350566222,33.260462826193994,71.69771558627666,4.456917774495323,24.05405939420284,45.06439902531205,86.84143977071567,22.83149287701256,51.42088685989312,14.455933037912358,8.06956966557964,3.4272224031260174,38.49926144756278,NA,NA,NA,NA,NA,NA,1.3723377198074378,1.587279372265698,2.344007598928855,2.111798163812457,2.0448692771108616,3.1170453446590045,3.0277272007904825,0.9818190827644765,3.2825688068478325,102.50936716876132,1.8283150487701965,2.183926054180789,2.992312684148249,2.6320076625502815,1.3636360314068852,1.0409683309473536,2.7506959582342954,NA,NA
BK0201,229,18480,1079994,7004701,4704,2698,16810,880,4421,2163,8109,1672,1161,2279,6595,429,6117,4117,596,1408,18618,26031,72700.48539157129,9.856977224281286,1376.6397495350773,111665.49201969246,920942.5753552716,609.8368634315245,430.8665686729478,1268.7911569679227,304.2745470787854,627.041465933474,762.8486088340202,779.919867678725,541.2679558222526,325.7852053117207,471.99152534764863,750.8921360621644,164.07924914503965,671.9337764988452,686.5609951053148,208.05768430894352,378.8812478864585,1407.5698916927713,1541.3101569768494,NA,0,0,0,0,26031,26031,19554,26031,26031,26031,12601,26031,24286,6250,12601,12601,15196,26031,15989,14009,26031,0,NA,0,0,0,0,1541.3101569768494,1541.3101569768494,1198.648822633218,1541.3101569768494,1541.3101569768494,1541.3101569768494,755.0940338792249,1541.3101569768494,1533.297427115822,27985.986528975533,755.0940338792249,755.0940338792249,1058.0992392020703,1541.3101569768494,1047.8411139099287,728.709818789345,1541.3101569768494,0,NA,NA,NA,NA,NA,18.070761784026736,10.364565325957512,85.96706556203334,3.3805846874879952,16.983596481118667,8.309323498905151,64.35203555273391,6.4231109062271905,4.78053199374125,36.464,52.337116101896676,3.4044917070073804,40.25401421426691,15.815758134531904,3.7275626993558073,10.05068170461846,71.52241558142215,NA,NA,NA,NA,NA,NA,2.0841164597688535,1.5372338817127202,3.7858352487845797,1.1516268411349153,2.1888796403360318,2.8889436037230354,4.841265034821567,2.044244128322536,1.307058008295184,163.4515126612033,5.066922093966967,1.286032107556566,3.419933005089183,2.465626631201893,1.2781193796713266,2.6535436468993145,3.3622138756790885,NA,NA
BK0202,394.8,33987,1819031,14898202,3674,6678,23494,5641,9779,6074,14464,2467,5785,5817,14640,2039,12005,6495,1378,1925,19117,39977,46962.72537513706,19.9017587162542,1167.2047806619025,126970.35596547724,1357910.3840909384,492.6408428053849,966.5640175384143,1271.394903246037,978.4165779462243,1006.6483993927571,1035.3767430264213,783.9056065624228,566.1625208365527,1023.8500866826158,691.8655938836675,699.3353987894507,366.9332364340957,866.4588853488664,959.4086720475274,302.7507225424904,415.62723683608607,1313.9916285882493,1884.5049747878088,NA,0,0,0,0,39977,39977,30650,39977,39977,39977,19883,39977,39280,14180,19883,19883,24631,39977,26504,21808,39977,0,NA,0,0,0,0,1884.5049747878088,1884.5049747878088,1319.517335998281,1884.5049747878088,1884.5049747878088,1884.5049747878088,681.462398082242,1884.5049747878088,1880.2265820905734,37893.20489217031,681.462398082242,681.462398082242,1177.6582696181435,1884.5049747878088,1171.6040286718035,653.9564205663861,1884.5049747878088,0,NA,NA,NA,NA,NA,9.190284413537784,16.704605147960077,76.65252854812398,14.110613602821623,24.46156540010506,15.193736398429097,72.74556153497963,6.1710483528028615,14.727596741344195,41.02256699576869,73.63073982799376,10.254991701453504,48.73939344728188,16.246841934112116,5.199215212798069,8.827035950110051,47.819996497986345,NA,NA,NA,NA,NA,NA,1.153647926831893,2.285974581301866,2.513351679044953,2.3553244928174113,2.2385273297724275,2.48892737745579,3.0541314387742604,1.38602206232886,2.5093990830725055,109.73310652193224,2.4500104780886534,1.8116830104143458,2.6351816899974114,2.274416031523573,1.118923058605687,1.887376700397235,2.392068653921635,NA,NA
BK0203,365.8,24173,1183971,11134400,4682,3297,14828,9618,7226,5652,11122,3572,5304,4885,12043,2978,7357,5200,1809,1343,11041,33180,52755.88942832039,13.832931721077786,1220.5654427354561,112377.5759482291,1477018.7349593774,558.6250978966126,488.3298065856722,1009.9871286308554,945.6828220920585,778.0083547109247,857.2642533081616,695.9403710088961,881.7068673884762,937.6635857278451,622.9020789819215,612.2385156129922,382.6369036044485,685.9970845419097,672.7220822895589,515.0087377899524,338.2144290239552,962.2780263520517,1618.0358463272685,NA,0,0,0,0,33180,33180,25239,33180,33180,33180,15102,33180,31819,11666,15102,15102,17315,33180,19406,16445,33180,0,NA,0,0,0,0,1618.0358463272685,1618.0358463272685,1205.6608146572567,1618.0358463272685,1618.0358463272685,1618.0358463272685,631.3881531989653,1618.0358463272685,1617.9014185048482,37893.20489217031,631.3881531989653,631.3881531989653,1072.0900148774822,1618.0358463272685,1203.8700095940592,600.1999666777732,1618.0358463272685,0,NA,NA,NA,NA,NA,14.110910186859554,9.936708860759493,58.75034668568485,28.9873417721519,21.77817962628089,17.034358047016276,73.64587471858032,10.76552139843279,16.66928564694051,41.87382136122064,79.74440471460734,19.719242484439146,42.48917123881028,15.67209162145871,9.32185921879831,8.16661599270295,33.27606992163954,NA,NA,NA,NA,NA,NA,1.5365745369649089,1.389701536414838,2.852570369471556,2.474914399286395,2.09051423170347,2.4464973090962165,3.4286799845502354,2.604970254177592,2.822344199918908,136.11824803308693,2.3064516280169745,2.395803199180612,2.9623131190622964,1.8779349935428113,2.590090952148949,2.034926936231632,2.403703761710029,NA,NA
BK0204,253.5,18380,930863,6056600,3553,2321,15343,6786,5900,3894,8202,2528,2641,3244,8414,1253,7072,4282,1323,1475,13676,29205,55894.171854810906,6.30158710167526,1048.4030713423153,81785.6256502327,756468.3856500548,541.1718765789664,365.8674623412145,979.2578822761653,954.1100565448412,731.9180281971472,765.9791119867434,746.3377251620074,521.4700374901706,562.7041851630393,473.1817832503699,622.375288712526,284.37123623882917,752.579563900057,590.9864634659579,402.72074692024495,345.3056616969956,1107.199620664675,1515.8568534000829,NA,0,0,0,0,29205,29205,21345,29205,29205,29205,13664,29205,26882,8168,13664,13664,16362,29205,18076,15139,29205,0,NA,0,0,0,0,1515.8568534000829,1515.8568534000829,1164.6411464481237,1515.8568534000829,1515.8568534000829,1515.8568534000829,682.0982333945749,1515.8568534000829,1502.1318184500321,30228.32031390431,682.0982333945749,682.0982333945749,956.256764681955,1515.8568534000829,1032.1477607397112,650.7872156089117,1515.8568534000829,0,NA,NA,NA,NA,NA,12.16572504708098,7.947269303201507,71.88100257671586,23.235747303543913,20.2020202020202,13.333333333333334,60.026346604215455,8.656052045882554,9.824417826054608,39.71596474045054,61.57786885245902,9.170081967213115,43.22209998777655,14.661872966957713,7.319097145386148,9.743047757447652,46.82759801403869,NA,NA,NA,NA,NA,NA,1.7421024145130068,1.1828972561983386,2.380189522870525,3.0361813168231344,2.2762346680987604,2.5298159530171107,4.566768140931667,1.728101487428939,2.0199678031405983,147.09586651930655,3.3611995835061297,2.0302032309553573,3.8438181974089205,1.8750302833508623,2.188381772911884,2.242118083441365,2.909491750557636,NA,NA
BK0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.49742261192856,14,28,14,14,14,19.79898987322333,28,14,28,14,14,14,14,14,14,14,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,14,14,14,14,14,14,14,14,14,11425.231157398961,14,14,14,14,14,14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BK0301,673.6,46962,1911190,23457202,6488,4809,30029,25547,16639,16926,22584,6636,23328,13014,28308,8529,21221,23032,3996,2239,36150,90068,68035.19611668038,15.650239614779066,1319.999242424025,130424.62339604435,1670823.5958574442,734.8789015885543,866.9048390682798,1612.6478226816914,2138.0783428116006,1398.842735978566,1726.8679741080382,1182.6542182734563,1030.7584586119096,2753.7759531232746,1128.453366338193,1120.590915544116,818.2835694305489,1512.2393990370704,2007.8814706052744,616.3537945044226,365.67471884175967,2830.555069239954,3465.19292392213,NA,0,0,0,0,90068,90068,60064,90068,90068,90068,34580,90068,89823,27337,34580,34580,44484,90068,49511,36819,90068,0,NA,0,0,0,0,3465.19292392213,3465.19292392213,2139.3459280817583,3465.19292392213,3465.19292392213,3465.19292392213,1057.1489961211712,3465.19292392213,3462.0699010851877,52356.98661114866,1057.1489961211712,1057.1489961211712,1908.1577502921502,3465.19292392213,2053.1716927719417,1029.0515050278095,3465.19292392213,0,NA,NA,NA,NA,NA,7.203446285029089,5.339299196162899,49.9950053276505,28.364124883421415,18.473819780610206,18.7924679131323,65.30942741469057,7.367766576364525,25.97107645035236,47.60580897684457,81.86234817813765,24.664545980335454,47.704792734466324,25.571790202957764,8.070933731897963,6.081099432358293,40.13634143091886,NA,NA,NA,NA,NA,NA,0.767406321006565,0.9403243604385322,2.009393741920007,2.108155948682093,1.3809236098704725,1.77574767765363,2.7767646332258313,1.1087618903139105,2.897755938713253,91.27006900396086,2.058690496363874,2.2430021711404966,2.7146426479231347,2.0004609517647736,1.1990466055610836,0.9785178834198888,2.7371560965804735,NA,NA
